Week,Tournament,Champions,Runners-up,Semifinalists,Quarterfinalists,category,prize_money
19 May,"Hamburg Open Hamburg, Germany ATP 500 Clay (red) – €2,320,160 – 32S/16Q/16D Singles – Doubles","Flavio Cobolli 6–2, 6–4",Andrey Rublev,Félix Auger-Aliassime Tomás Martín Etcheverry,Alexandre Müller Luciano Darderi Jiří Lehečka Roberto Bautista Agut,ATP 500,
19 May,"Hamburg Open Hamburg, Germany ATP 500 Clay (red) – €2,320,160 – 32S/16Q/16D Singles – Doubles","Simone Bolelli Andrea Vavassori 6–4, 6–0",Andrés Molteni Fernando Romboli,Félix Auger-Aliassime Tomás Martín Etcheverry,Alexandre Müller Luciano Darderi Jiří Lehečka Roberto Bautista Agut,ATP 500,
19 May,"Geneva Open Geneva, Switzerland ATP 250 Clay (red) – €622,850 – 28S/16Q/16D Singles – Doubles","Novak Djokovic 5–7, 7–6(7–2), 7–6(7–2)",Hubert Hurkacz,Sebastian Ofner Cameron Norrie,Taylor Fritz Karen Khachanov Alexei Popyrin Matteo Arnaldi,ATP 250,
19 May,"Geneva Open Geneva, Switzerland ATP 250 Clay (red) – €622,850 – 28S/16Q/16D Singles – Doubles","Sadio Doumbia Fabien Reboul 6–7(4–7), 6–4, [11–9]",Ariel Behar Joran Vliegen,Sebastian Ofner Cameron Norrie,Taylor Fritz Karen Khachanov Alexei Popyrin Matteo Arnaldi,ATP 250,
26 May 2 Jun,"French Open Paris, France Grand Slam Clay (red) – €26,334,000 – 128S/128Q/64D/32X Singles – Doubles – Mixed","Carlos Alcaraz 4–6, 6–7(4–7), 6–4, 7–6(7–3), 7–6(10–2)",Jannik Sinner,Novak Djokovic Lorenzo Musetti,Alexander Bublik Alexander Zverev Frances Tiafoe Tommy Paul,Grand Slam,
26 May 2 Jun,"French Open Paris, France Grand Slam Clay (red) – €26,334,000 – 128S/128Q/64D/32X Singles – Doubles – Mixed","Marcel Granollers Horacio Zeballos 6–0, 6–7(5–7), 7–5",Joe Salisbury Neal Skupski,Novak Djokovic Lorenzo Musetti,Alexander Bublik Alexander Zverev Frances Tiafoe Tommy Paul,Grand Slam,
26 May 2 Jun,"French Open Paris, France Grand Slam Clay (red) – €26,334,000 – 128S/128Q/64D/32X Singles – Doubles – Mixed","Sara Errani Andrea Vavassori 6–4, 6–2",Taylor Townsend Evan King,Novak Djokovic Lorenzo Musetti,Alexander Bublik Alexander Zverev Frances Tiafoe Tommy Paul,Grand Slam,
9 Jun,"Stuttgart Open Stuttgart, Germany ATP 250 Grass – €778,445 – 28S/16Q/16D Singles – Doubles","Taylor Fritz 6–3, 7–6(7–0)",Alexander Zverev,Ben Shelton  Félix Auger-Aliassime,Brandon Nakashima  Jiří Lehečka  Justin Engel  Márton Fucsovics,ATP 250,
9 Jun,"Stuttgart Open Stuttgart, Germany ATP 250 Grass – €778,445 – 28S/16Q/16D Singles – Doubles","Santiago González Austin Krajicek 6–4, 6–4",Alex Michelsen Rajeev Ram,Ben Shelton  Félix Auger-Aliassime,Brandon Nakashima  Jiří Lehečka  Justin Engel  Márton Fucsovics,ATP 250,
9 Jun,"Rosmalen Grass Court Championships 's-Hertogenbosch, Netherlands ATP 250 Grass – €733,665 – 28S/16Q/16D Singles – Doubles","Gabriel Diallo 7–5, 7–6(10–8)",Zizou Bergs,Reilly Opelka Ugo Humbert,Daniil Medvedev  Mark Lajal  Karen Khachanov  Nuno Borges,ATP 250,
9 Jun,"Rosmalen Grass Court Championships 's-Hertogenbosch, Netherlands ATP 250 Grass – €733,665 – 28S/16Q/16D Singles – Doubles","Matthew Ebden Jordan Thompson 6–4, 3–6, [10–7]",Julian Cash Lloyd Glasspool,Reilly Opelka Ugo Humbert,Daniil Medvedev  Mark Lajal  Karen Khachanov  Nuno Borges,ATP 250,
16 Jun,"Halle Open Halle, Germany ATP 500 Grass – €2,683,820 – 32S/16Q/16D Singles – Doubles","Alexander Bublik 6–3, 7–6(7–4)",Daniil Medvedev,Karen Khachanov  Alexander Zverev,Tomáš Macháč Tomás Martín Etcheverry Alex Michelsen Flavio Cobolli,ATP 500,
16 Jun,"Halle Open Halle, Germany ATP 500 Grass – €2,683,820 – 32S/16Q/16D Singles – Doubles","Kevin Krawietz Tim Pütz 6–3, 7–6(7–4)",Simone Bolelli Andrea Vavassori,Karen Khachanov  Alexander Zverev,Tomáš Macháč Tomás Martín Etcheverry Alex Michelsen Flavio Cobolli,ATP 500,
16 Jun,"Queen's Club Championships London, United Kingdom ATP 500 Grass – €2,683,820 – 32S/16Q/16D Singles – Doubles","Carlos Alcaraz 7–5, 6–7(5–7), 6–2",Jiří Lehečka,Roberto Bautista Agut Jack Draper,Arthur Rinderknech Holger Rune Jacob Fearnley Brandon Nakashima,ATP 500,
16 Jun,"Queen's Club Championships London, United Kingdom ATP 500 Grass – €2,683,820 – 32S/16Q/16D Singles – Doubles","Julian Cash Lloyd Glasspool 6–3, 6–7(5–7), [10–6]",Nikola Mektić Michael Venus,Roberto Bautista Agut Jack Draper,Arthur Rinderknech Holger Rune Jacob Fearnley Brandon Nakashima,ATP 500,
23 Jun,"Mallorca Championships Santa Ponsa, Spain ATP 250 Grass – €622,850 – 28S/16Q/16D Singles – Doubles","Tallon Griekspoor 7–5, 7–6(7–3)",Corentin Moutet,Alex Michelsen Félix Auger-Aliassime,Learner Tien Roberto Bautista Agut  Gabriel Diallo  Hamad Medjedovic,ATP 250,
23 Jun,"Mallorca Championships Santa Ponsa, Spain ATP 250 Grass – €622,850 – 28S/16Q/16D Singles – Doubles","Santiago González Austin Krajicek 6−1, 1−6, [15−13]",Yuki Bhambri Robert Galloway,Alex Michelsen Félix Auger-Aliassime,Learner Tien Roberto Bautista Agut  Gabriel Diallo  Hamad Medjedovic,ATP 250,
