Week,Tournament,Champions,Runners-up,Semifinalists,Quarterfinalists,category,prize_money
Jun 9,"Libéma Open Rosmalen, Netherlands WTA 250 Grass – €239,212 – 32S/24Q/16D Singles – Doubles","Irina Khromacheva Fanny Stollár 7–5, 6–3",Nicole Melichar-Martinez Liudmila Samsonova,Elisabetta Cocciaretto  Ekaterina Alexandrova,Bianca Andreescu  Suzan Lamens  Yuan Yue Veronika Kudermetova,WTA 250,
Jun 16,"German Open Berlin, Germany WTA 500 Grass – €925,661 – 28S/24Q/16D Singles – Doubles","Markéta Vondroušová 7–6(12–10), 4–6, 6–2",Wang Xinyu,Aryna Sabalenka Liudmila Samsonova,Elena Rybakina Ons Jabeur Amanda Anisimova Paula Badosa,WTA 500,
Jun 16,"German Open Berlin, Germany WTA 500 Grass – €925,661 – 28S/24Q/16D Singles – Doubles","Tereza Mihalíková Olivia Nicholls 4−6, 6−2, [10−6]",Sara Errani Jasmine Paolini,Aryna Sabalenka Liudmila Samsonova,Elena Rybakina Ons Jabeur Amanda Anisimova Paula Badosa,WTA 500,
Jun 16,"Nottingham Open Nottingham, United Kingdom WTA 250 Grass – $275,094 – 32S/24Q/16D Singles – Doubles","McCartney Kessler 6–4, 7–5",Dayana Yastremska,Rebecca Šramková Magda Linette,Katie Boulter Linda Nosková Leylah Fernandez Clara Tauson,WTA 250,"$275,094"
Jun 16,"Nottingham Open Nottingham, United Kingdom WTA 250 Grass – $275,094 – 32S/24Q/16D Singles – Doubles","Beatriz Haddad Maia Laura Siegemund 6–3, 6–2",Anna Danilina Ena Shibahara,Rebecca Šramková Magda Linette,Katie Boulter Linda Nosková Leylah Fernandez Clara Tauson,WTA 250,"$275,094"
Jun 23,"Bad Homburg Open Bad Homburg, Germany WTA 500 Grass – $1,064,510 – 32S/16Q/16D Singles – Doubles","Jessica Pegula 6–4, 7–5",Iga Świątek,Linda Nosková  Jasmine Paolini,Emma Navarro  Mirra Andreeva  Ekaterina Alexandrova  Beatriz Haddad Maia,WTA 500,"$1,064,510"
Jun 23,"Bad Homburg Open Bad Homburg, Germany WTA 500 Grass – $1,064,510 – 32S/16Q/16D Singles – Doubles","Guo Hanyu Alexandra Panova 4–6, 7–6(7–4), [10–5]",Lyudmyla Kichenok Ellen Perez,Linda Nosková  Jasmine Paolini,Emma Navarro  Mirra Andreeva  Ekaterina Alexandrova  Beatriz Haddad Maia,WTA 500,"$1,064,510"
Jun 23,"Eastbourne Open Eastbourne, United Kingdom WTA 250 Grass – $389,000 – 32S/24Q/16D Singles – Doubles","Maya Joint 6–4, 1–6, 7–6(12–10)",Alexandra Eala,Anastasia Pavlyuchenkova Varvara Gracheva,Anna Blinkova  Kamilla Rakhimova  Dayana Yastremska  Barbora Krejčíková,WTA 250,"$389,000"
Jun 23,"Eastbourne Open Eastbourne, United Kingdom WTA 250 Grass – $389,000 – 32S/24Q/16D Singles – Doubles","Marie Bouzková Anna Danilina 6–4, 7–5",Hsieh Su-wei Maya Joint,Anastasia Pavlyuchenkova Varvara Gracheva,Anna Blinkova  Kamilla Rakhimova  Dayana Yastremska  Barbora Krejčíková,WTA 250,"$389,000"
Jun 30 Jul 7,"Wimbledon London, United Kingdom Grand Slam Grass – $25,161,500 – 128S/64D/32X Singles – Doubles – Mixed","Iga Świątek 6–0, 6–0",Amanda Anisimova,Aryna Sabalenka  Belinda Bencic,Laura Siegemund  Anastasia Pavlyuchenkova  Mirra Andreeva Liudmila Samsonova,Grand Slam,"$25,161,500"
Jun 30 Jul 7,"Wimbledon London, United Kingdom Grand Slam Grass – $25,161,500 – 128S/64D/32X Singles – Doubles – Mixed","Veronika Kudermetova Elise Mertens 3–6, 6–2, 6–4",Hsieh Su-wei Jeļena Ostapenko,Aryna Sabalenka  Belinda Bencic,Laura Siegemund  Anastasia Pavlyuchenkova  Mirra Andreeva Liudmila Samsonova,Grand Slam,"$25,161,500"
Jun 30 Jul 7,"Wimbledon London, United Kingdom Grand Slam Grass – $25,161,500 – 128S/64D/32X Singles – Doubles – Mixed","Kateřina Siniaková Sem Verbeek 7–6(7–3), 7–6(7–3)",Luisa Stefani Joe Salisbury,Aryna Sabalenka  Belinda Bencic,Laura Siegemund  Anastasia Pavlyuchenkova  Mirra Andreeva Liudmila Samsonova,Grand Slam,"$25,161,500"
Jul 14,"Iași Open Iași, Romania WTA 250 Clay – €239,212 – 32S/24Q/16D Singles – Doubles","Irina-Camelia Begu 6–0, 7–5",Jil Teichmann,Sorana Cîrstea Jaqueline Cristian,María Lourdes Carlé Simona Waltert Anna Sisková Panna Udvardy,WTA 250,
Jul 14,"Iași Open Iași, Romania WTA 250 Clay – €239,212 – 32S/24Q/16D Singles – Doubles","Veronika Erjavec Panna Udvardy 7–5, 6–3",María Lourdes Carlé Simona Waltert,Sorana Cîrstea Jaqueline Cristian,María Lourdes Carlé Simona Waltert Anna Sisková Panna Udvardy,WTA 250,
Jul 14,"Hamburg Open Hamburg, Germany WTA 250 Clay – €275,094 – 32S/24Q/16D Singles – Doubles","Loïs Boisson 7–5, 6–3",Anna Bondár,Kaja Juvan Dayana Yastremska,Ekaterina Alexandrova Leyre Romero Gormaz Viktoriya Tomova  Dalma Gálfi,WTA 250,
Jul 14,"Hamburg Open Hamburg, Germany WTA 250 Clay – €275,094 – 32S/24Q/16D Singles – Doubles","Nadiia Kichenok Makoto Ninomiya 6–4, 3–6, [11–9]",Anna Bondár Arantxa Rus,Kaja Juvan Dayana Yastremska,Ekaterina Alexandrova Leyre Romero Gormaz Viktoriya Tomova  Dalma Gálfi,WTA 250,
Jul 21,"Washington Open Washington DC, United States WTA 500 Hard – $1,282,951 – 28S/24Q/16D Singles – Doubles","Leylah Fernandez 6–1, 6–2",Anna Kalinskaya,Elena Rybakina Emma Raducanu,Taylor Townsend  Magdalena Fręch  Clara Tauson Maria Sakkari,WTA 500,"$1,282,951"
Jul 21,"Washington Open Washington DC, United States WTA 500 Hard – $1,282,951 – 28S/24Q/16D Singles – Doubles","Taylor Townsend Zhang Shuai 6–1, 6–1",Caroline Dolehide Sofia Kenin,Elena Rybakina Emma Raducanu,Taylor Townsend  Magdalena Fręch  Clara Tauson Maria Sakkari,WTA 500,"$1,282,951"
Jul 21,"Prague Open Prague, Czech Republic WTA 250 Hard – $275,094 – 32S/24Q/16D Singles – Doubles","Marie Bouzková 2–6, 6–1, 6–3",Linda Nosková,Wang Xinyu Tereza Valentová,Kateřina Siniaková Sára Bejlek Ann Li  Jessika Ponchet,WTA 250,"$275,094"
Jul 21,"Prague Open Prague, Czech Republic WTA 250 Hard – $275,094 – 32S/24Q/16D Singles – Doubles","Nadiia Kichenok Makoto Ninomiya 1–6, 6–4, [10–7]",Lucie Havlíčková Laura Samson,Wang Xinyu Tereza Valentová,Kateřina Siniaková Sára Bejlek Ann Li  Jessika Ponchet,WTA 250,"$275,094"
